ID_ACCIDENTE,ANYO,MES,DIA_SEMANA,HORA,COD_PROVINCIA,COD_MUNICIPIO,ZONA,ZONA_AGRUPADA,CARRETERA,KM,SENTIDO_1F,TITULARIDAD_VIA,TIPO_VIA,TIPO_ACCIDENTE,TOTAL_MU24H,TOTAL_HG24H,TOTAL_HL24H,TOTAL_VICTIMAS_24H,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,TOTAL_VICTIMAS_30DF,TOTAL_VEHICULOS,TOT_PEAT_MU24H,TOT_BICI_MU24H,TOT_CICLO_MU24H,TOT_MOTO_MU24H,TOT_TUR_MU24H,TOT_FURG_MU24H,TOT_CAM_MENOS3500_MU24H,TOT_CAM_MAS3500_MU24H,TOT_BUS_MU24H,TOT_OTRO_MU24H,TOT_SINESPECIF_MU24H,TOT_PEAT_MU30DF,TOT_BICI_MU30DF,TOT_CICLO_MU30DF,TOT_MOTO_MU30DF,TOT_TUR_MU30DF,TOT_FURG_MU30DF,TOT_CAM_MENOS3500_MU30DF,TOT_CAM_MAS3500_MU30DF,TOT_BUS_MU30DF,TOT_VMP_MU30DF,TOT_OTRO_MU30DF,TOT_SINESPECIF_MU30DF,NUDO,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,ACERA,TRAZADO_PLANTA,ZONA_KM,HAY_NIEBLA,TRAMO_HORA,gravedad_accidente,tramo_horario,zona_riesgo
47,2024,2,6,12,1,0,1,1,AP-1,81.0,1,2,2,12.0,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,3,0.0,998,2,Media,0,Mañana,Baja,Tarde,Bajo Riesgo
48,2024,2,6,9,1,0,1,1,A-124,69.0,1,3,14,4.0,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,0.0,998,1,Media,0,Mañana,Baja,Mañana,Bajo Riesgo
49,2024,2,1,18,1,0,1,1,N-622,20.0,2,5,3,15.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4,6,4,0.0,998,1,Baja,0,Tarde,Baja,Noche,Bajo Riesgo
50,2024,2,2,12,1,0,1,1,A-4001,4.0,2,3,6,2.0,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3,1,4,0.0,998,1,Baja,0,Mañana,Baja,Tarde,Bajo Riesgo
51,2024,2,6,13,1,0,3,2,No inventariada,0.0,4,5,14,19.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,1,0.0,998,998,,0,Tarde,Baja,Tarde,Bajo Riesgo
52,2024,2,4,17,1,0,1,1,A-1,366.0,1,3,3,4.0,0,0,3,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,3,0.0,998,1,Muy Alta,0,Tarde,Media,Tarde,Bajo Riesgo
53,2024,2,4,17,1,0,1,1,A-624,26.0,1,3,14,14.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,4,0.0,998,2,Baja,0,Tarde,Baja,Tarde,Bajo Riesgo
54,2024,2,4,13,1,0,1,1,A-2122,35.0,1,3,6,19.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,2,0.0,998,1,Baja,0,Tarde,Baja,Tarde,Bajo Riesgo
55,2024,2,5,20,1,1059,1,1,A-1,355.0,2,3,3,4.0,0,0,3,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,6,2,0.0,998,2,Muy Alta,0,Noche,Media,Noche,Bajo Riesgo
56,2024,2,2,17,1,0,1,1,A-3322,23.0,2,3,6,14.0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,1,0.0,998,3,Baja,0,Tarde,Baja,Tarde,Bajo Riesgo
